Description,ANOnto,AROnto,CBOOnto,CBOnto2,CROnto,DITOnto,INROnto,LCOMOnto,NACOnto,NOCOnto,NOMOnto,RFCOnto,PROnto,TMOnto,TMOnto2,POnto,RROnto,WMCOnto,WMCOnto2
1,0.0,2.4350877192982456,1.4385964912280702,1.4385964912280702,0.1543859649122807,7.0,1.4385964912280702,4.556728232189974,1.4980237154150198,12.8125,2.8526315789473684,4.291228070175438,0.6647587898609976,0.0,0.0,0.9438596491228071,0.33524121013900243,6.826086956521739,1.4980237154150198
4,0.008064516129032258,1.1209677419354838,0.9919354838709677,0.9919354838709677,0.0,4.0,0.9919354838709677,2.9902912621359223,1.0,5.857142857142857,0.5967741935483871,1.5887096774193548,0.3756345177664975,0.0,0.0,0.967741935483871,0.6243654822335025,2.9902912621359223,1.0
6,0.008064516129032258,1.1209677419354838,0.9919354838709677,0.9919354838709677,0.0,4.0,0.9919354838709677,2.9902912621359223,1.0,5.857142857142857,0.5967741935483871,1.5887096774193548,0.3756345177664975,0.0,0.0,0.967741935483871,0.6243654822335025,2.9902912621359223,1.0
20,0.0,1.6,0.9333333333333333,0.9333333333333333,4.6,3.0,0.9333333333333333,1.75,1.0,4.666666666666667,28.066666666666666,29.0,0.967816091954023,0.0,0.0,0.6,0.03218390804597701,1.75,1.0
23,0.0,3.3870967741935485,0.967741935483871,0.967741935483871,0.2903225806451613,5.0,0.967741935483871,2.5833333333333335,1.0,4.285714285714286,2.4516129032258065,3.4193548387096775,0.7169811320754716,0.0,0.0,0.8709677419354839,0.2830188679245283,2.5833333333333335,1.0
24,0.0,3.595419847328244,0.9923664122137404,0.9923664122137404,0.0,7.0,0.9923664122137404,3.669724770642202,1.0,5.909090909090909,3.053435114503817,4.0458015267175576,0.7547169811320755,0.0,0.0,0.9847328244274809,0.24528301886792453,3.669724770642202,1.0
25,0.6521739130434783,2.2028985507246377,1.065217391304348,1.065217391304348,0.0,5.0,1.065217391304348,3.706896551724138,1.0943396226415094,4.59375,2.0579710144927534,3.1231884057971016,0.6589327146171694,0.0,0.0,0.9710144927536232,0.34106728538283065,4.056603773584905,1.0943396226415094
28,0.0,3.388235294117647,1.035294117647059,1.035294117647059,0.0,5.0,1.035294117647059,3.8125,1.0666666666666667,3.52,3.211764705882353,4.247058823529412,0.7562326869806094,0.047619047619047616,2.0,1.0,0.24376731301939059,4.066666666666666,1.0666666666666667
29,0.17073170731707318,4.060975609756097,1.646341463414634,1.646341463414634,0.0,7.0,1.646341463414634,4.257142857142857,2.061224489795918,4.090909090909091,2.4878048780487805,4.134146341463414,0.6017699115044248,0.0,0.0,0.975609756097561,0.39823008849557523,9.122448979591837,2.142857142857143
